,The Getty Center,Santa Monica Pier,Will Rogers State Historic Park,Magic and Wine Tasting with David Minkin,Universal Studios Hollywood,Runyon Canyon Park,Topanga State Park,Los Angeles Urban Adventures,Pacific Blue Air,Griffith Observatory and Park,Los Angeles County Museum of Art,Staples Center,Venice Canals Walkway,Bike Tours Hollywood,Walt Disney Concert Hall,Hollywood Sign,Nethercutt Museum,Hollywood Walk of Fame,Warner Brothers Studios,Autry National Center,Olvera Street,The Original Farmers Market,Petersen Automotive Museum,Mulholland Drive,TCL Chinese Theatres,Dolby Theatre,Rodeo Drive,Double Tree Hotel
The Getty Center,0,9.375,7.5,16.875,15,10.625,20.625,10.625,16.875,20.625,11.875,16.25,11.25,16.875,17.5,16.875,18.125,16.875,14.375,18.125,18.125,11.875,11.875,8.75,11.25,11.25,6.875,17.5
Santa Monica Pier,9.375,0,4.375,15.625,22.5,13.75,11.875,13.75,15.625,19.375,10,14.375,2.5,14.375,15.625,24.375,25.625,15.625,21.875,23.75,16.875,10.625,10,16.25,14.375,14.375,7.5,16.25
Will Rogers State Historic Park,7.5,4.375,0,15,20.625,14.375,11.875,14.375,19.375,23.125,14.375,18.75,6.875,14.375,20,22.5,23.75,15,20,23.75,20.625,14.375,13.75,13.75,14.375,14.375,8.75,20
Magic and Wine Tasting with David Minkin,16.25,15.625,21.875,0,3.75,1.875,27.5,1.25,18.75,4.375,4.375,7.5,13.125,0.625,6.25,2.5,18.75,0,3.75,6.25,6.25,4.375,5,9.375,1.25,0.625,6.25,6.875
Universal Studios Hollywood,14.375,21.875,20,3.125,0,3.75,25.625,3.125,21.875,7.5,6.875,10.625,23.125,3.125,9.375,3.125,16.875,3.75,2.5,6.875,9.375,6.875,6.875,6.25,3.125,3.125,8.75,10
Runyon Canyon Park,10.625,13.75,14.375,1.875,3.75,0,27.5,0.625,20.625,5,3.75,9.375,11.875,1.25,8.125,5,18.75,1.25,4.375,7.5,8.125,3.125,3.75,5.625,0.625,0.625,5,8.75
Topanga State Park,20.625,11.875,11.875,27.5,25.625,28.125,0,27.5,26.875,31.875,21.25,25.625,14.375,27.5,26.875,27.5,28.75,28.125,25,28.75,28.125,21.875,21.25,23.125,27.5,27.5,18.75,27.5
Los Angeles Urban Adventures,16.875,14.375,14.375,1.25,3.75,0.625,27.5,0,20,5,3.75,8.75,11.875,0.625,7.5,4.375,18.75,1.25,3.75,6.875,8.125,3.125,3.75,5.625,0,0.625,5,8.125
Pacific Blue Air,16.875,15.625,19.375,18.75,21.875,20.625,26.25,20,0,19.375,12.5,11.875,11.875,18.75,13.125,20.625,33.125,18.125,22.5,20.625,13.75,13.125,12.5,23.125,20,20,15,13.125
Griffith Observatory and Park,20,19.375,23.125,3.75,7.5,5.625,31.25,5,19.375,0,8.75,8.75,20.625,4.375,6.875,5.625,22.5,4.375,8.75,5,7.5,8.125,8.75,13.125,5,5,10,8.125
Los Angeles County Museum of Art,11.875,10,14.375,4.375,7.5,3.75,21.25,3.75,12.5,8.75,0,6.25,8.75,3.75,6.875,8.125,22.5,4.375,7.5,10.625,8.75,0.625,0.625,7.5,3.75,3.75,3.125,7.5
Staples Center,16.25,15,18.75,7.5,11.25,9.375,26.25,9.375,11.25,8.75,6.875,0,15.625,8.125,1.875,10,26.25,7.5,11.25,10,2.5,6.875,6.25,16.875,9.375,8.75,11.875,1.875
Venice Canals Walkway,11.25,2.5,6.875,13.125,23.75,11.875,14.375,12.5,12.5,20,8.75,15.625,0,12.5,16.875,25.625,26.875,13.125,23.75,24.375,17.5,9.375,8.75,17.5,12.5,12.5,9.375,16.875
Bike Tours Hollywood,16.875,14.375,14.375,0.625,3.75,1.25,27.5,0.625,18.75,4.375,3.75,8.125,12.5,0,6.875,3.75,18.75,0.625,3.75,6.875,6.875,3.75,4.375,6.25,0.625,0,5.625,7.5
Walt Disney Concert Hall,18.125,16.25,20,6.25,9.375,8.125,27.5,7.5,13.125,6.875,8.125,1.875,17.5,6.25,0,8.75,24.375,6.25,10,8.125,0.625,8.125,7.5,15.625,7.5,7.5,10.625,0.625
Hollywood Sign,16.25,23.75,21.875,2.5,3.75,5,27.5,4.375,20.625,5.625,7.5,9.375,25,3.125,8.125,0,18.75,3.125,3.125,6.875,8.75,7.5,7.5,9.375,4.375,4.375,10,8.75
Nethercutt Museum,18.125,25.625,23.75,18.75,16.875,18.75,29.375,18.75,33.125,22.5,22.5,25.625,26.875,18.75,24.375,18.125,0,18.75,16.25,18.125,25,21.875,22.5,17.5,18.75,18.75,23.125,25
Hollywood Walk of Fame,16.25,15.625,22.5,0,3.75,1.25,27.5,1.25,18.75,4.375,4.375,7.5,12.5,0.625,6.25,3.125,18.75,0,4.375,6.25,6.25,4.375,5,10,0.625,0.625,6.25,6.875
Warner Brothers Studios,14.375,21.25,20,3.75,3.125,4.375,25,3.75,22.5,8.125,7.5,11.25,23.125,3.75,10,3.125,16.25,4.375,0,4.375,10,7.5,7.5,7.5,3.75,3.75,9.375,10.625
Autry National Center,17.5,24.375,23.125,6.25,6.875,7.5,28.125,7.5,21.25,5.625,11.25,10,26.25,7.5,8.75,6.875,19.375,6.25,3.75,0,8.75,10.625,11.25,10.625,7.5,7.5,12.5,9.375
Olvera Street,18.125,16.875,20.625,6.25,10,8.125,28.125,8.125,13.75,7.5,8.125,2.5,17.5,6.875,0.625,8.75,25,6.25,10.625,8.75,0,8.75,8.75,15.625,8.125,8.125,11.25,0.625
The Original Farmers Market,12.5,10.625,14.375,4.375,6.875,3.125,21.875,3.125,13.125,8.125,0.625,6.875,8.75,3.75,6.875,7.5,21.875,4.375,7.5,10.625,8.125,0,0.625,6.875,3.125,3.125,3.125,7.5
Petersen Automotive Museum,11.875,10,13.75,5,7.5,3.75,21.25,3.75,12.5,8.75,0,6.25,8.125,4.375,10,8.125,22.5,5,7.5,11.25,10.625,0.625,0,7.5,3.75,3.75,3.125,10
Mulholland Drive,8.75,16.25,14.375,10,8.125,5.625,23.125,5.625,23.75,13.75,7.5,16.875,17.5,6.25,15.625,9.375,18.125,10,7.5,10.625,16.25,6.875,8.125,0,5.625,5.625,5.625,16.25
TCL Chinese Theatres,16.25,14.375,14.375,1.25,3.75,0.625,27.5,0.625,19.375,5,3.75,8.125,12.5,0.625,6.875,4.375,18.75,0.625,3.75,6.875,7.5,3.125,3.75,5.625,0,0,5,7.5
Dolby Theatre,16.25,14.375,14.375,0.625,3.75,0.625,27.5,0.625,19.375,5,3.75,8.125,12.5,0,6.875,4.375,18.75,0.625,3.75,6.875,6.875,3.125,4.375,5.625,0,0,5.625,7.5
Rodeo Drive,6.25,7.5,8.75,6.25,8.75,5,18.75,5,15,10,3.125,12.5,8.125,5.625,11.25,9.375,22.5,6.25,9.375,12.5,11.25,3.125,3.125,5.625,5,5.625,0,11.875
Double Tree Hotel,18.75,16.875,20.625,6.875,10,8.75,28.125,8.125,13.75,8.125,8.75,1.875,18.125,6.875,0.625,9.375,25,6.875,10.625,8.75,0.625,8.75,8.75,16.25,8.125,8.125,11.25,0
